"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","y"
"607",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,-1
"608",7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,-1
"609",6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,-1
"610",6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,-1
"611",6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,-1
"612",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.23333333333333,-1
"613",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,-1
"614",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,-1
"615",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,-1
"616",6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,-1
"617",6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,-1
"618",7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,-1
"619",7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,-1
"620",7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,-1
"621",6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,-1
"622",7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,-1
"623",7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,-1
"624",6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,-1
"625",5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,-1
"626",6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,-1
"627",6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,-1
"628",11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,-1
"629",6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,-1
"630",7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,1
"631",6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,-1
"632",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,-1
"633",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,-1
"634",6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,-1
"635",6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,-1
"636",6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,-1
"637",6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,-1
"638",6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,-1
"639",6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,-1
"640",5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,-1
"641",7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,-1
"642",8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,-1
"643",6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,-1
"644",6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,-1
"645",7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,-1
"646",7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,-1
"647",7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,-1
"648",5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,-1
"649",7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,-1
"650",6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,-1
"651",5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,-1
"652",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,-1
"653",6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,-1
"654",5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,-1
"655",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,-1
"656",6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,-1
